,nac,region,sexo,edad,edu,ingreso,esc,region,prof,ing_nivel
461,1,1,1,35,13,350000,15,1,0,0
462,1,1,2,35,13,350000,15,1,0,0
463,1,1,1,60,12,450000,14,1,0,0
464,1,1,2,23,9,120000,12,1,0,0
465,1,1,2,28,9,345000,10,1,0,0
466,1,1,2,57,7,840000,8,1,0,1
467,1,1,2,55,11,65000,13,1,0,0
468,1,1,2,29,15,909167,17,1,1,1
469,1,1,2,37,9,270666,12,1,0,0
470,1,1,1,38,9,452083,12,1,0,0
471,1,1,1,19,9,150000,12,1,0,0
472,1,1,1,51,9,250000,9,1,0,0
473,2,1,1,48,9,"5,00E+05",12,1,0,0
474,1,1,1,30,9,60000,12,1,0,0
475,1,1,1,34,11,250000,9,1,0,0
476,3,1,2,46,7,"3,00E+05",3,1,0,0
477,3,1,2,43,15,1003333,17,1,1,1
478,1,1,1,56,15,1004167,19,1,1,1
479,1,1,2,49,15,1083333,18,1,1,1
480,1,1,2,26,12,691667,13,1,0,1
481,1,1,1,66,10,336480,10,1,0,0
482,1,1,2,61,13,550000,15,1,0,1
483,1,1,1,47,11,1439333,13,1,0,1
484,1,1,2,47,11,840000,13,1,0,1
485,1,1,1,29,14,1400000,14,1,0,1
486,3,1,1,45,14,"7,00E+05",15,1,0,1
487,1,1,1,73,10,1200000,10,1,0,1
488,1,1,1,21,14,330000,14,1,0,0
489,1,1,2,56,15,"2,00E+05",17,1,1,0
490,1,1,1,25,9,220000,12,1,0,0
491,1,1,1,57,11,602083,11,1,0,1
492,1,1,2,54,11,150000,11,1,0,0
493,1,1,2,26,11,"4,00E+05",12,1,0,0
494,1,1,1,40,9,"5,00E+05",12,1,0,0
495,1,1,2,43,9,60000,12,1,0,0
496,1,1,1,34,9,750000,12,1,0,1
497,3,1,2,35,11,30000,12,1,0,0
498,1,1,1,53,9,350000,12,1,0,0
499,1,1,2,31,9,450000,12,1,0,0
500,1,1,2,25,9,330000,12,1,0,0
501,1,1,1,38,9,550000,12,1,0,1
502,1,1,1,25,11,420000,13,1,0,0
503,3,1,2,72,9,105000,11,1,0,0
504,3,1,1,25,9,312360,12,1,0,0
505,3,1,1,31,9,"3,00E+05",12,1,0,0
506,3,1,2,35,9,270000,12,1,0,0
